Accident_Index		Accelerometer 			location 		Probability
201506F000440		"Alert , drastic change in values"			153.0812527	-27.55976556	Yes
201506F000518		200	6	107	153.183832	-27.45168228	No
201506F000518		334	384	367	153.0292875	-27.07241391	No
201506F000542		374	311	396	145.7348819	-17.02427451	No
201506F000542		319	403	405	153.0516966	-27.52028608	No
201506F000588		204	377	321	152.9964134	-27.42376548	No
201506F000588		"Alert , drastic change in values"			153.3221571	-27.99326586	Yes
201506F000704		703	672	6	153.048392	-27.39975727	No
201506F000704		574	291	258	144.2471312	-23.44377883	No
201506F000714		417	352	379	152.3616012	-27.54123413	No
201506F000714		309	420	408	152.3536691	-24.87371037	No
201506F000738		384	356	405	150.8083648	-23.23460155	No
201506F000835		"Alert , drastic change in values"			145.8980894	-17.19752693	Yes
201506F000835		458	126	6	153.2126159	-27.72159023	No
201506F001017		"Alert , drastic change in values"			153.0113262	-27.34245671	Yes
201506F001017		257	13	7	153.0406636	-27.44629753	No
201506F001180		316	462	332	152.7599097	-27.62706125	No
201506F001180		365	337	377	153.0751573	-27.40770476	No
201506F001341		"Alert , drastic change in values"			152.4207449	-28.05833229	Yes
201506F001566		126	26	194	153.0159146	-27.51878936	No
201506F001566		232	720	226	153.3847123	-27.95192911	No
201506F001605		348	534	369	152.9607198	-26.63374416	No
201506F001605		415	259	413	151.6897575	-24.66794842	No
201506F001642		351	345	418	153.4084246	-27.95466638	No
201506F001642		313	292	402	152.8526729	-26.38642417	No
201506F001695		"Alert , drastic change in values"			153.1401328	-27.43269098	Yes
201506F001695		542	94	6	153.1045367	-27.76882401	No
201506F001730		"Alert , drastic change in values"			151.9195828	-27.59339075	Yes
201506F001730		18	154	7	150.263071	-23.0321216	No
201506F001764		373	424	404	146.7942017	-19.29262283	No
201506F001764		"Alert , drastic change in values"			148.0362102	-19.96627191	Yes
201506F001764		227	42	347	153.0009534	-27.48752132	No
201506F001764		370	702	299	153.0658442	-26.68251252	No
201506F001774		483	330	410	152.7600784	-25.4136732	No
201506F001774		"Alert , drastic change in values"			152.7756714	-26.01741479	Yes
201506F001927		270	6	175	152.9773389	-27.41136298	No
201506F001927		"Alert , drastic change in values"			153.1281505	-27.48075407	Yes
201506F001977		160	554	7	152.7211251	-26.32306653	No
201506F001977		386	338	382	144.7111649	-18.68857225	No
201506F002062		354	142	433	152.6424154	-27.57201213	No
201506F002062		"Alert , drastic change in values"			153.069846	-27.95678043	Yes
201506F002121					153.051207	-26.66220189	
201506F002121							
